id;start_date;end_date;date_created;status;user_profile_id;vehicle_id;parking_spot_id
1;2026-05-11T11:41:17;2026-05-11T03:47:02;2026-05-10T22:25:09;CANCELLED;1;1;1
2;2026-05-11T04:57:19;2026-05-10T20:53:43;2026-05-11T08:41:50;CANCELLED;2;2;2
3;2026-05-11T02:21:39;2026-05-11T00:14:41;2026-05-11T02:18:05;CANCELLED;2;3;3
4;2026-05-11T16:02:59;2026-05-11T00:56:09;2026-05-11T08:29:59;CANCELLED;1;4;4
5;2026-05-10T20:50:34;2026-05-11T00:08:41;2026-05-11T09:49:41;EXPIRED;1;5;5
6;2026-05-11T14:48:45;2026-05-11T12:32:26;2026-05-11T05:42:23;EXPIRED;2;6;6
7;2026-05-11T04:53:47;2026-05-10T20:45:31;2026-05-10T19:40:11;CANCELLED;2;7;7
8;2026-05-11T12:25:31;2026-05-11T04:34:36;2026-05-11T17:13:08;EXPIRED;1;8;8
9;2026-05-10T21:40:55;2026-05-11T13:08:42;2026-05-11T07:40:26;EXPIRED;1;9;9
10;2026-05-11T07:28:58;2026-05-11T08:55:59;2026-05-10T19:38:40;CANCELLED;2;10;10
